year,energy_kbtu,ghg_tons,dc_floor
2022,6983663.1,514.5,Not Available
2022,1620550.6,148.3,Not Available
2022,2989900.1,178.6,Not Available
2022,6204459.8,368.3,Not Available
2022,6339005.8,412.5,Not Available
2022,1912886.1,149.8,Not Available
2022,2277447.4,136.7,Not Available
2022,4839903.4,277.4,Not Available
2022,2492958.7,194.6,Not Available
2022,7556833.1,575.1,Not Available
2022,7743700,581.3,Not Available
2022,40444697.8,2351.4,Not Available
2022,9339047.8,619.3,Not Available
2022,665019.2,54,Not Available
2022,1697150.1,127.8,Not Available
2022,4283521.4,289,Not Available
2022,4834744.6,361.6,Not Available
2022,5211455.5,340.6,Not Available
2022,6678126.7,446.9,Not Available
2022,6446415.9,392.7,Not Available
2022,3204894.3,182.8,Not Available
2022,2732185.9,166,Not Available
2022,4785466.4,375.7,Not Available
2022,1443918.9,105.8,Not Available
2022,2804361.4,232.7,Not Available
2022,4271424.5,283.1,Not Available
2022,12160114.5,673.5,Not Available
2022,588152.1,45.9,Not Available
2022,2772702.6,206.9,Not Available
2022,2893382.4,216.2,Not Available
2022,447132.5,36.8,Not Available
2022,652456.5,40.6,Not Available
2022,1877254.3,128,Not Available
2022,7121851.6,459,Not Available
2022,4754617.5,321.7,Not Available
2022,4500933,380.5,Not Available
2022,313363.2,24.4,Not Available
2022,3909968.6,300.2,Not Available
2022,1836358.6,150.7,Not Available
2022,945301.8,79.9,Not Available
2022,7449689.7,524.3,Not Available
2022,6140104.1,423.2,Not Available
2022,5380946.6,372.2,Not Available
2022,1025829.7,62.5,Not Available
2022,4442269.1,316.9,Not Available
2022,5292885.8,355,Not Available
2022,1558346.8,98.7,Not Available
2022,8529554.8,662.6,Not Available
2022,997429.2,81.2,Not Available
2022,Not Available,Not Available,Not Available
2022,Not Available,Not Available,Not Available
2022,17815749.1,1221.5,Not Available
2022,890470.7,56.7,Not Available
2022,3430179.3,229,Not Available
2022,638867.5,40,Not Available
2022,4172582.9,246.8,Not Available
2022,1771124.5,118,Not Available
2022,2118043.4,129.9,Not Available
2022,2798240.2,161.2,Not Available
2022,247917293,17008.9,Not Available
2022,92809259.8,10929.1,29494
2022,Not Available,Not Available,Not Available
2022,16538298,1271.2,Not Available
2022,2607831.5,155.3,Not Available
2022,702694.9,55.1,Not Available
2022,10168544.1,768.4,Not Available
2022,3154142,181,Not Available
2022,2303100.1,157.3,Not Available
2022,3815469.9,255.8,Not Available
2022,5275140.7,312.1,Not Available
2022,16375029.8,1289.9,Not Available
2022,1188055,73.6,Not Available
2022,2799405.7,206.6,Not Available
2022,4074809.3,230.1,Not Available
2022,9535805.5,715.5,Not Available
2022,6740267.4,492.7,Not Available
2022,2578538.6,151.8,Not Available
2022,926446.7,78.3,Not Available
2022,871245.5,65.7,Not Available
2022,1107970.4,84,Not Available
2022,1161842.4,91.8,Not Available
2022,3993452.8,224.7,Not Available
2022,2758935.1,209.2,Not Available
2022,2329202.7,177.6,Not Available
2022,Not Available,Not Available,Not Available
2022,1195933.4,80.3,Not Available
2022,2546130.2,155.5,Not Available
2022,44043.8,2.8,Not Available
2022,3037424.5,177.8,Not Available
2022,5961183.4,347.8,Not Available
2022,4004773.7,225.6,Not Available
2022,999014.9,68.5,Not Available
2022,2139052.3,148.7,Not Available
2022,4713537.6,346.7,Not Available
2022,13252190.3,748.2,Not Available
2022,1817046.3,112.4,Not Available
2022,1413914.2,107.8,Not Available
2022,2640098.9,204,Not Available
2022,2558855.6,192.2,Not Available
2022,425757,32.9,Not Available
2022,3669859.8,210.9,Not Available
2022,7637589.8,440.6,Not Available
2022,5814869.7,330.2,Not Available
2022,2796748.7,162.9,Not Available
2022,543129.3,45.8,Not Available
2022,1691305.8,100.2,Not Available
2022,3243574.5,188.8,Not Available
2022,916370.3,65.1,Not Available
2022,5270351.8,333.8,Not Available
2022,2704443,157.9,Not Available
2022,6837960.3,450.4,Not Available
2022,727474,56.3,Not Available
2022,5008574.4,292.1,Not Available
2022,2734349.6,160.8,Not Available
2022,2083251,125.9,Not Available
2022,2389165.3,164.2,Not Available
2022,4728962.1,279.9,Not Available
2022,6201685,356.2,Not Available
2022,4653018.6,349.1,Not Available
2022,636253.1,47.9,Not Available
2022,4947131.9,309.3,Not Available
2022,5753779.6,358.1,Not Available
2022,8865458.3,622.3,Not Available
2022,7298949.9,537.9,Not Available
2022,905413.2,72.3,Not Available
2022,1831746,137,Not Available
2022,3451995.4,215.7,Not Available
2022,2449490.2,181.4,Not Available
2022,1002018.6,80.5,Not Available
2022,576002.6,43.3,Not Available
2022,18560480.5,1022,Not Available
2022,15893609.3,890.9,Not Available
2022,7689876.5,431.5,Not Available
2022,6443075,369.6,Not Available
2022,7500018.4,427,Not Available
2022,9399856.8,546,Not Available
2022,9609890,541.8,Not Available
2022,3292753.1,188.6,Not Available
2022,4125399.1,231.8,Not Available
2022,3438303.8,201.9,Not Available
2022,5471083,307.1,Not Available
2022,3631241.7,204.8,Not Available
2022,3919562.3,225.1,Not Available
2022,211704467.6,16413,43458
2022,4438059.2,371.3,Not Available
2022,1722600.4,92.5,Not Available
2022,81411791.2,6045.3,Not Available
2022,766477,58.7,Not Available
2022,3882633.4,257,Not Available
2022,1982442.9,126.9,Not Available
2022,4021772.6,251.4,Not Available
2022,5224125,306.3,Not Available
2022,4303703.9,253.4,Not Available
2022,14299671.7,838.4,Not Available
2022,6526173.7,404,Not Available
2022,5897670.6,441.9,Not Available
2022,7272117.6,424.6,Not Available
2022,5613767.4,325.9,Not Available
2022,5262037.4,304.5,Not Available
2022,10904805.8,663.5,Not Available
2022,2023752.8,171.1,Not Available
2022,12463016.7,909.4,Not Available
2022,4836586.1,292.7,Not Available
2022,5472276.1,332.8,Not Available
2022,13329189.7,735.4,Not Available
2022,25126223.6,1348.9,Not Available
2022,4113616.3,241,Not Available
2022,7147535.4,407.4,Not Available
2022,15354799.9,831.4,Not Available
2022,12640490.7,686.7,Not Available
2022,4395706.9,233.5,Not Available
2022,5810289.6,438,Not Available
2022,6622594.5,504,Not Available
2022,6316271.4,373.2,Not Available
2022,5333642.2,409.1,Not Available
2022,10045137.2,581.4,Not Available
2022,4508905.2,258.7,Not Available
2022,12796805.9,984.6,Not Available
2022,11979405.8,889.2,Not Available
2022,910295.5,68.6,Not Available
2022,840103.1,64.9,Not Available
2022,1007426.3,76.8,Not Available
2022,7956157.5,482.9,Not Available
2022,3045222.3,247.1,Not Available
2022,8000218.9,508,Not Available
2022,10592884.2,610.7,Not Available
2022,2358318.9,191,Not Available
2022,8951856.8,548.7,Not Available
2022,11864355.8,696.2,Not Available
2022,24841296.8,1902.4,Not Available
2022,14306865.9,1005.2,Not Available
2022,15252171.1,1001.8,Not Available
2022,11326065.2,813.9,Not Available
2022,10720777.2,673.7,Not Available
2022,11730302.4,713.2,Not Available
2022,3482777.2,263.2,Not Available
2022,21789018,1318.9,Not Available
2022,7121614.8,425.6,Not Available
2022,7164306.8,422.7,Not Available
2022,5790282.8,341.5,Not Available
2022,9324685.2,567.3,Not Available
2022,5125864,298.4,Not Available
2022,1147806.7,87.2,Not Available
2022,7299526.8,421.5,Not Available
2022,5489948.6,315.6,Not Available
2022,8287100.8,480.5,Not Available
2022,9488467.4,567.3,Not Available
2022,6794604.1,392.3,Not Available
2022,4332644.1,249.4,Not Available
2022,3603320.6,209.7,Not Available
2022,9173402.7,535.9,Not Available
2022,Not Available,Not Available,Not Available
